,comment
0,"cooked and pureed fresh, or 1 10-ounce package frozen squash, defrosted"
1,"peeled and cooked fresh (about 20), or 1 cup canned, unsweetened"
2,"medium-size, peeled and chopped"
3,chopped coarse
4,nan
5,"unflavored, dissolved in 1/2 cup water"
6,"canned, with juice"
7,veal or beef
8,crushed and chopped
9,peeled and diced
10,"medium, diced"
11,or other seasonings of your choice
12,fine dry
13,freshly ground
14,minced
15,thinly sliced then coarsely chopped
16,"large, trimmed"
17,juice of
18,large
19,freshly grated
20,cooked medium- or long-grain
21,for deep-frying
22,whole
23,coarsely grated extra-sharp
24,panko or coarse dry
25,stemmed and quartered
26,extra-virgin
27,kosher
28,"1 2-pound roast, cut from the large end, trimmed and tied at 1/2-inch intervals with kitchen twine"
29,ground
30,"medium-roast, finely ground"
31,light
32,chopped white
33,6-inch
34,dried
35,"1 1/4-inch thick, cut in half"
36,washed and picked over
37,"(about 1 pint), hulled and halved"
38,fresh
39,"(1 pound each), peeled and cut into 1-inch chunks (about 4 cups)"
40,"(3 to 4 ounce each), peeled and cut into rounds about 1/4-inch thick"
41,"(8 ounce each), peeled, quartered, cored and cut into thin wedges (about 3 cups)"
42,"(8 ounces each), peeled, halved, cored and thinly sliced lengthwise (about 3 cups)"
43,"small, peeled, cored and cut into 1-inch chunks (about 3 cups)"
44,"juice (6 ounces each), peeled and sectioned"
45,"small pink (12 ounces each) or 1 large pink grapefruit, peeled and sectioned"
46,"seedless, equal amounts of red and green"
47,thinly sliced
48,sifted granulated (optional)
49,pure
50,of kosher
51,"whites, from grade a large eggs"
52,dark
53,at room temperature
54,kosher
55,tops removed and thinly sliced across the bulb (about 6 cups)
56,torn into small pieces (about 8 cups)
57,about 12 cups of sprigs
58,"(about 6 peppers in assorted colors), cut into 2-inch chunks"
59,cut into 1/4-inch slices through the stem (4 cups)
60,"sweet italian in casing, cut into 1-inch lengths"
61,hot
62,freshly ground
63,2 cans crushed
64,peeled and smashed
65,drained and rinsed
66,"white, quartered and thinly sliced (2 cups)"
67,"(about 1 1/2 pounds), peeled and cut diagonally into 1/4-inch slices"
68,(9-ounce boxes)
69,"(20-24 to the pound), shelled"
70,"(about 6 dozen), scrubbed and beards removed"
71,"italian, french or greek"
72,ripe
73,no-salt added
74,plus 1/4 cup for dusting the cookies
75,cooled (from 1 1/2 to 2 pounds oscar mayer bacon)
76,optional
77,chopped fresh
78,"cut into chunks, plus more for greasing pan"
79,packed
80,freshly grated
81,"chopped fresh, optional"
82,"or water, more as necessary"
83,chopped (canned are fine; do not drain)
84,"dried, soaked for several hours or overnight"
85,spelt or barley
86,peeled and chopped
87,trimmed and chopped
88,"large, sliced"
89,extra virgin
90,chopped fresh for garnish
91,"thick-cut, whiting, or hake fillets"
92,coarse as needed
93,slivered
94,whites
95,preferably cake flour
96,"about blanched, finely ground"
97,granulated
98,yolks
99,kirsch or dark
100,"2 16-ounce cans dark, pitted"
101,chopped
102,smashed
103,sliced
104,hot italian or spanish
105,"about, 4 1/2 pounds each"
106,1 2 1/2-pound chunk of
107,"1 sprig thyme, 2 bay leaves, parsley + stalks and 3 large cloves garlic"
108,"medium, peeled and sliced"
109,peeled and stuck with 2 cloves
110,rind from
111,(5 1/2 cups) dry white (great northern)
112,"or ramekins, buttered"
113,buttered
114,"fresh, chopped"
115,"stale, from good bread"
116,"about, to yield 1 cup, minced"
117,to yield 1 pound
118,grated
119,lightly beaten
120,stone-ground yellow
121,"2 cans, or 2 cups plus 2 tablespoons"
122,"for topping, optional"
123,regular or low-fat
124,to taste
125,ground or to taste
126,good quality (approximately)
127,freshly ground to taste
128,finely minced
129,finely chopped
130,"hard-cooked, chopped"
131,toasted
132,coarsely chopped
133,coarse like demerara or turbinado (optional)
134,"frozen, thawed overnight in refrigerator"
135,for rolling out pastry
136,"peeled and grated, like granny smith (about 2 apples)"
137,crumbled
138,"ground, optional"
139,split lengthwise
140,canned
141,"about 1 1/2 pounds, peeled and cut in chunks"
142,"for drizzling, optional"
143,"roasted, optional"
144,"crispy cooked, minced, optional"
145,or salt to taste
146,"1 3-inch piece of, peeled and roughly chopped"
147,"preferably homemade, or water"
148,"cooked pinto or kidney, or a mixture"
149,"fresh, seeded and minced"
